ID,ARTICULO,COD. PROV,COSTO,$ VENTA1,$ VENTA 2,MARCA,ITEM,Items,Stock,PROVEEDOR,NRO DE CLIENTE
7516,"TENAZA CARPINTERO 6""",11-20682,12966.74,19450.0,21395.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,1.0,CONTAINER S.R.L.,3638
7517,"ZZLIMA PLANA DE 10""",02-37903,11811.741,17718.0,19489.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,0.0,CONTAINER S.R.L.,3638
7518,TIJERA P/LIGUSTRO,140037,34905.345,52358.0,57594.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,1.0,FERRETERA DEL NORTE,3600
7519,"TERRAJA PPM 1/2-3/4-1"" P/ PVC ABRASOL.",126010,7010.111,10515.0,11567.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,0.0,FERRETERA DEL NORTE,3600
7520,ZTIRAFONDO 8 X 50,,0.0,0.0,0.0,TIRAFONDO,TORNILLOS,TORNILLOS,0.0,CONTAINER S.R.L.,3638
7521,PUNTA P/ TRAZAR,3935,7687.978,11532.0,12685.0,BREMEN QUALITY TOOLS,FERRETERIA,FERRETERIA,-1.0,BREMEN ARGENTINA S.A.,4335
7522,TIRAFONDO 8 X 75,114003,170.94400000000002,256.0,282.0,TIRAFONDO,TORNILLOS,TORNILLOS,44.0,FERRETERA DEL NORTE,3600
7523,PUNTA P/ MARTILLO NEU. SDS 21 MM,,907.5,1180.0,1298.0,SIN ASIGNAR,ESPECIALES,ESPECIALES,0.0,AAA VARIOS,3714
7524,TIRAFONDO 8 X 63,114002,148.234,222.0,245.0,TIRAFONDO,TORNILLOS,TORNILLOS,-156.0,FERRETERA DEL NORTE,3600
7525,CORTA HIERRO GRANDE ARTESANAL,,4900.5,7351.0,8086.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,3.0,AAA VARIOS,3714
7526,TIRAFONDO 9 1/2 X 75,TTF10076,247.579,371.0,409.0,BREMEN QUALITY TOOLS,TORNILLOS,TORNILLOS,264.0,BREMEN ARGENTINA S.A.,4335
7527,CORTA HIERRO GHERARDI 19 X 300,160074,8614.243,12921.0,14214.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,0.0,FERRETERA DEL NORTE,3600
7528,TORNILLO 3/16 X 1 1/2,122007,71.667,108.0,118.0,SIN ASIGNAR,TORNILLOS,TORNILLOS,-6.0,FERRETERA DEL NORTE,3600
7529,"CABO P/ AZADA DE 1,5 MTS",145006,4895.344,7343.0,8077.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,0.0,FERRETERA DEL NORTE,3600
7530,TORNILLO 1/4 X 1,120015,36.583,55.0,60.0,SIN ASIGNAR,TORNILLOS,TORNILLOS,-115.0,FERRETERA DEL NORTE,3600
7531,CANDADO 606. 40 MM ARO LARGO,128021,21495.65,32243.0,35468.0,606,FERRETERIA,FERRETERIA,-2.0,FERRETERA DEL NORTE,3600
7532,TRAMPA LAUCHA,N300,1904.469,2857.0,3142.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,12.01,EXTRA POWER,3702
7533,"KIT PLACARD - 2,00 X 2,60 * D52",,39473.671,47368.0,52105.0,SIN ASIGNAR,TORNILLOS,TORNILLOS,0.0,DISTRIBUIDORA LAMADRID,3614
7534,TRAMPA RATON,02-30900,2992.897,4489.0,4938.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,2.0,CONTAINER S.R.L.,3638
7535,RUEDA P/CAT 416,,38332.8,57499.0,63249.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,2.0,TRACKMAR,3739
7538,CUCHARA GHERARDI Nº 8,160068,23492.308,35238.0,38762.0,GHERARDI,FERRETERIA,FERRETERIA,6.0,FERRETERA DEL NORTE,3600
7539,CERRADURA KARMA DOBLE PALETA,,0.0,0.0,0.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,3.0,AAA VARIOS,3714
7540,CORTA HIERRO GHERARDI 19 X 350,160075,9634.623,14452.0,15897.0,GHERARDI,FERRETERIA,FERRETERIA,5.0,FERRETERA DEL NORTE,3600
7541,M-PISTOLA CANE AL 150,,0.0,0.0,0.0,SIN ASIGNAR,MAQUINA HERRAMIENTA,MAQUINA HERRAMIENTA,0.0,AAA VARIOS,3714
7543,LLAVE COMBINADA C/CRIQUET 9 O 10 MM,B631,7893.791,11051.0,12156.0,black jack,FERRETERIA,FERRETERIA,0.0,EXTRA POWER,3702
7545,MECHA P/BARRENO N 11,112009,11108.456,16663.0,18329.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,0.0,FERRETERA DEL NORTE,3600
7547,MECHA P/BARRENO N 12,112010,11799.129,17699.0,19469.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,0.0,FERRETERA DEL NORTE,3600
7549,MECHA P/BARRENO N 17.5,112021,17489.69,26235.0,28858.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,0.0,FERRETERA DEL NORTE,3600
7551,ESCUADRA METALICA 30 CM,290042,8800.137,13200.0,14520.0,black jack,FERRETERIA,FERRETERIA,0.0,FERRETERA DEL NORTE,3600
7553,RIEGO MANGUERA DE 1/2 X 15 MTS,198020,10710.903,16066.0,17673.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,6.0,FERRETERA DEL NORTE,3600
7555,TIRAFONDO 9 1/2 X 120,114010,414.53700000000003,622.0,684.0,TIRAFONDO,TORNILLOS,TORNILLOS,50.0,FERRETERA DEL NORTE,3600
7556,OFERTA TALADRO + AMOLADORA,,25171.025,31464.0,34610.0,SIN ASIGNAR,MAQUINA HERRAMIENTA,MAQUINA HERRAMIENTA,0.0,MAREQ - MACRIAN S.R.L.,5466
7557,LLAVE COMBINADA C/CRIQUET 11 MM,B632,8790.818,12307.0,13538.0,black jack,FERRETERIA,FERRETERIA,0.0,EXTRA POWER,3702
7560,GUANTE DESCARNE CORTO,253000,4412.599,6619.0,7281.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,397.0,FERRETERA DEL NORTE,3600
7561,"LLAVE STILSON BREMEM 2""",6679,65494.046,98241.0,108065.0,BREMEN QUALITY TOOLS,FERRETERIA,FERRETERIA,0.0,BREMEN ARGENTINA S.A.,4335
7562,GUANTE DE GOMA,0,1752.346,2629.0,2891.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,217.0,YUHMAK S.A.,3721
7563,"LLAVE FRANCESA DE 15""",4164,61246.641,91870.0,101057.0,BREMEN QUALITY TOOLS,FERRETERIA,FERRETERIA,0.0,BREMEN ARGENTINA S.A.,4335
7564,NIVELADOR CUÑAS P/ PISO X 150 UN,NA1183,5208.604,7292.0,8021.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,7.0,EXTRA POWER,3702
7565,GAM. HIDROLAVADORA B&D 1300 WT,,4639.343,6031.0,6634.0,GAMMA,MAQUINA HERRAMIENTA,MAQUINA HERRAMIENTA,0.0,CBA S.R.L.,4455
7566,JUEGO LLAVE TORX PROF. 9 PZA (6907),6907,17185.531,25778.0,28356.0,BREMEN QUALITY TOOLS,FERRETERIA,FERRETERIA,-6.0,BREMEN ARGENTINA S.A.,4335
7567,"DISCO DIAMANT. 7"" BREMEN TURBO",4530,11374.842,17100.0,18810.0,BREMEN QUALITY TOOLS,FERRETERIA,FERRETERIA,34.0,BREMEN ARGENTINA S.A.,4335
7568,VENENO P/HORMIGA X 1 KG HORMIKILL,45-10160,4152.475,6229.0,6852.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,4.0,CONTAINER S.R.L.,3638
7570,ZZVENENO HORMIGA GRANULADO 250 GR,,0.0,0.0,0.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,0.0,AAA VARIOS,3714
7571,BISAGRA REV.3 AG.2 X 3 X 1.5,171004,1089.116,1634.0,1797.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,3.0,FERRETERA DEL NORTE,3600
7572,VENENO HORMIGA DE 250 GR,7100,3396.472,5095.0,5604.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,-5.0,H. J. HERRERA S.R.L.,3623
7573,BISAGRA REV.5 AG.GAL,02-38072,780.371,1171.0,1288.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,30.0,CONTAINER S.R.L.,3638
7575,LLAVE P/BUJIAS,15-50435,9305.362000000001,13958.0,15354.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,0.0,CONTAINER S.R.L.,3638
7576,"TIJERA CORTA PERNO 24""",2895,47178.588,70768.0,77845.0,BREMEN QUALITY TOOLS,FERRETERIA,FERRETERIA,2.0,BREMEN ARGENTINA S.A.,4335
7577,RUEDA GOMA BASE FIJA 125 MM,38-10360,5879.8150000000005,8820.0,9702.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,-2.0,CONTAINER S.R.L.,3638
7578,TRINCHETA HOJA TRAPEZ. REPUESTO,350,163.255,245.0,269.0,BREMEN QUALITY TOOLS,FERRETERIA,FERRETERIA,13.0,BREMEN ARGENTINA S.A.,4335
7579,RUEDA P/CARRETILLA INF. 400 CM,210,62907.94,69200.0,76120.0,PEREZ,FERRETERIA,FERRETERIA,0.0,CARRETILLAS PEREZ SERGIO,3676
7580,TORNILLO FIX 4 X 25,FIX40025,11.622,17.0,19.0,BREMEN QUALITY TOOLS,TORNILLOS,TORNILLOS,666.0,BREMEN ARGENTINA S.A.,4335
7581,"PINZA PUNTA 6""",8234,6336.714,9505.0,10456.0,BREMEN QUALITY TOOLS,FERRETERIA,FERRETERIA,2.0,BREMEN ARGENTINA S.A.,4335
7582,VENENO RATAS SUPER Q. KC X 100 GR,45-10020,1870.577,2806.0,3086.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,-9.0,CONTAINER S.R.L.,3638
7583,"PINZA BREMEN PUNTA 6""",7045,7668.944,11503.0,12654.0,BREMEN QUALITY TOOLS,FERRETERIA,FERRETERIA,3.0,BREMEN ARGENTINA S.A.,4335
7584,REMACHE POP 4  X 8,108011,26.265,39.0,43.0,SIN ASIGNAR,TORNILLOS,TORNILLOS,-538.0,FERRETERA DEL NORTE,3600
7585,"PINZA METZ UNIVERSAL 8""",7050,10827.098,16241.0,17865.0,BREMEN QUALITY TOOLS,FERRETERIA,FERRETERIA,7.0,BREMEN ARGENTINA S.A.,4335
7586,REMACHE POP 4 X 10,108012,27.419,41.0,45.0,SIN ASIGNAR,TORNILLOS,TORNILLOS,-10.0,FERRETERA DEL NORTE,3600
7588,REMACHE POP 4 X 14,108014,29.133,44.0,48.0,SIN ASIGNAR,TORNILLOS,TORNILLOS,-14.0,FERRETERA DEL NORTE,3600
